timestamp,default,kube-system,monitoring,stunner,stunner-system
1780010788,0.001348474860265032,0.02299412313663821,0.05525640583344803,0.008197821054758405,0.004734791397769767
1780010789,0.001348474860265032,0.022877499820782764,0.054948917292334136,0.007885137197307074,0.004725958710793289
1780010790,0.001348474860265032,0.02288322166493007,0.05506570330718297,0.007885137197307074,0.004727903802137284
1780010791,0.001348474860265032,0.02288894350907738,0.05519918123380206,0.007885137197307074,0.004730343098573493
1780010792,0.001348474860265032,0.02302095159656765,0.054769120334684895,0.007885137197307074,0.004736847054467436
1780010793,0.0009131705086304429,0.023164725777499166,0.054556660665924135,0.007885137197307074,0.004736847054467436
1780010794,0.0009200579954600048,0.023167337621055606,0.05381692812402195,0.007885137197307074,0.004734985774583758
1780010795,0.0009200579954600048,0.02306015586773126,0.053925600398947095,0.007885137197307074,0.004734985774583758
1780010796,0.00026826278377387915,0.02297430428129278,0.05422575573444779,0.007885137197307074,0.004730033506378859
1780010797,0.00026826278377387915,0.022957203368861798,0.05426183283996177,0.007885137197307074,0.004730033506378859
1780010798,0.0008250972596406368,0.02284888701690218,0.05459612799303128,0.007885137197307074,0.004730033506378859
1780010799,0.001490751617364251,0.02293913413516207,0.05445203390410273,0.007885137197307074,0.004730033506378859
1780010800,0.001490751617364251,0.022860556378834565,0.054194964492896965,0.0039872866143106055,0.004730033506378859
1780010801,0.001490751617364251,0.022933695472439918,0.0541693982727169,0.0039872866143106055,0.004719822591787053
1780010802,0.001490751617364251,0.023033888635670203,0.054186164308258976,0.009123470997328523,0.004721150339485886
1780010803,0.001490751617364251,0.023022256372301868,0.05424539991008819,0.014522504821257186,0.004721150339485886
1780010804,0.001490751617364251,0.02307820079749016,0.054481183088253546,0.01159737327518123,0.00473606484153935
1780010805,0.001490751617364251,0.023173346332380856,0.05457130891833745,0.01159737327518123,0.004740778807175235
1780010806,0.001490751617364251,0.02312396953477509,0.054549796922877446,0.01159737327518123,0.004745590293619916
1780010807,0.001490751617364251,0.02306795834617043,0.05454463768111203,0.01159737327518123,0.00475372669255255
1780010808,0.001490751617364251,0.02306795834617043,0.054532915879861116,0.01159737327518123,0.00475372669255255
1780010809,0.0013127747897476905,0.02306795834617043,0.0546207780004374,0.01159737327518123,0.00475372669255255
1780010810,0.0020584821822827713,0.023067419345034777,0.05467479947201506,0.01159737327518123,0.00475372669255255
1780010811,0.0020814302759402624,0.02306787164408116,0.05425985353229423,0.01159737327518123,0.00475372669255255
1780010812,0.0020814302759402624,0.0230722136316082,0.05429172477809526,0.01159737327518123,0.00468939192509632
1780010813,0.0020814302759402624,0.0230722136316082,0.054485307240634974,0.01159737327518123,0.004682240543761838
1780010814,0.0020814302759402624,0.023055140798906457,0.054503483235235045,0.01159737327518123,0.004683263591579282
1780010815,0.002093469301543662,0.023030320155217093,0.054625562122195104,0.016118913760434346,0.004760457056699457
1780010816,0.0021363590733688978,0.022861056015859478,0.054581897630814086,0.016118913760434346,0.004760457056699457
1780010817,0.002133916795403361,0.022813830353822062,0.054659461420701626,0.016517916091387634,0.004760457056699457
1780010818,0.0032075625676341825,0.022775296739668615,0.054545211392734425,0.02156424853434652,0.004774661018912498
1780010819,0.0032075625676341825,0.022816340571178463,0.05460951008687719,0.02156424853434652,0.0047732877707700174
1780010820,0.0032075625676341825,0.022847046818263706,0.05436485026117388,0.021858104719865577,0.004772437016065916
1780010821,0.0032075625676341825,0.022847046818263706,0.054284609235382024,0.021893949395809104,0.004765829883359433
1780010822,0.0032075625676341825,0.022803630371658768,0.054110516853584305,0.022247291275978756,0.004766605909940481
1780010823,0.003829510152028344,0.02271564808801997,0.05411589258441191,0.022247291275978756,0.004773780295082928
1780010824,0.003829510152028344,0.022778806244520538,0.053652509948604765,0.022247291275978756,0.004773780295082928
1780010825,0.003829510152028344,0.022778806244520538,0.05304088492099319,0.022247291275978756,0.004773780295082928
1780010826,0.003829510152028344,0.022778806244520538,0.052940213722935094,0.022247291275978756,0.004773780295082928
1780010827,0.003932143622659426,0.022778806244520538,0.05265164187355602,0.022247291275978756,0.004754729830910165
1780010828,0.003932143622659426,0.022760468496236332,0.052753247472621154,0.022247291275978756,0.004736420887778532
1780010829,0.003932143622659426,0.022760468496236332,0.052916358577171,0.02706368563533439,0.004736420887778532
1780010830,0.003932143622659426,0.02251757112624923,0.053048899327274315,0.02706368563533439,0.004665624638737201
1780010831,0.003932143622659426,0.022499540309955917,0.05269325427687021,0.02706368563533439,0.004666172757875806
1780010832,0.004009457353564041,0.022524311969581764,0.05268492718021819,0.03179530580985046,0.004742752744469543
1780010833,0.004009457353564041,0.022618694935281732,0.05294254185932525,0.03179530580985046,0.004742752744469543
1780010834,0.004924011476843353,0.022720746209800302,0.05297894589382322,0.03179530580985046,0.004661945694672462
1780010835,0.004924011476843353,0.022716864098741973,0.05297199927440966,0.03179530580985046,0.004668782426949364
1780010836,0.004924011476843353,0.022668428928718606,0.05297199927440966,0.03276834846928963,0.004675938978342572
1780010837,0.004924011476843353,0.022668428928718606,0.05294274382163196,0.03276834846928963,0.0046830955297357795
1780010838,0.004924011476843353,0.022657593322661207,0.05290842544629986,0.03276834846928963,0.004739283443234336
1780010839,0.004855919649727444,0.02266143034424835,0.05275664134459228,0.03680878579989678,0.004741841542882004
1780010840,0.0058370232567439674,0.02266143034424835,0.05224768818607044,0.03680878579989678,0.004720372300650582
1780010841,0.0058370232567439674,0.02266143034424835,0.05290583240807356,0.03680878579989678,0.004720372300650582
1780010842,0.0058370232567439674,0.02266143034424835,0.053362615487636406,0.03680878579989678,0.004720372300650582
1780010843,0.00614545720538881,0.02266143034424835,0.05344236169433884,0.03680878579989678,0.004720372300650582
1780010844,0.00614545720538881,0.022646170272118012,0.0536893372033855,0.03680878579989678,0.0046531432128825365
1780010845,0.00614545720538881,0.0225840606701884,0.05361224457461282,0.04077699703141231,0.0046460075630998824
1780010846,0.00614545720538881,0.022434611648013,0.05361000953695634,0.04077699703141231,0.004638871913317228
1780010847,0.00614545720538881,0.022397064135828176,0.05341370897228664,0.04077699703141231,0.004693201848966407
