timestamp,value,namespace
1779320124,0.001445770263671875,default
1779320129,0.001430511474609375,default
1779320134,0.001430511474609375,default
1779320139,0.001430511474609375,default
1779320144,0.00141143798828125,default
1779320149,0.00141143798828125,default
1779320154,0.001392364501953125,default
1779320159,0.001392364501953125,default
1779320164,0.001392364501953125,default
1779320169,0.001392364501953125,default
1779320174,0.001392364501953125,default
1779320179,0.001392364501953125,default
1779320184,0.001392364501953125,default
1779320189,0.001392364501953125,default
1779320194,0.001392364501953125,default
1779320199,0.001392364501953125,default
1779320204,0.001392364501953125,default
1779320209,0.001392364501953125,default
1779320214,0.001392364501953125,default
1779320219,0.001392364501953125,default
1779320224,0.001392364501953125,default
1779320229,0.001392364501953125,default
1779320234,0.001392364501953125,default
1779320239,0.001392364501953125,default
1779320244,0.001392364501953125,default
1779320249,0.001392364501953125,default
1779320254,0.001392364501953125,default
1779320259,0.001392364501953125,default
1779320264,0.001392364501953125,default
1779320269,0.001392364501953125,default
1779320274,0.001392364501953125,default
1779320279,0.001392364501953125,default
1779320284,0.001392364501953125,default
1779320289,0.001392364501953125,default
1779320294,0.001392364501953125,default
1779320299,0.001392364501953125,default
1779320304,0.001392364501953125,default
1779320309,0.001392364501953125,default
1779320314,0.001392364501953125,default
1779320319,0.001392364501953125,default
1779320324,0.001392364501953125,default
1779320329,0.001392364501953125,default
1779320334,0.001392364501953125,default
1779320339,0.001392364501953125,default
1779320344,0.001392364501953125,default
1779320349,0.001392364501953125,default
1779320354,0.001392364501953125,default
1779320359,0.001392364501953125,default
1779320364,0.001392364501953125,default
1779320369,0.001392364501953125,default
1779320374,0.001392364501953125,default
1779320379,0.001392364501953125,default
1779320384,0.001392364501953125,default
1779320389,0.001392364501953125,default
1779320394,0.001392364501953125,default
1779320399,0.001392364501953125,default
1779320404,0.001392364501953125,default
1779320409,0.001392364501953125,default
1779320414,0.001392364501953125,default
1779320419,0.001392364501953125,default
1779320424,0.001392364501953125,default
1779320429,0.001392364501953125,default
1779320434,0.001392364501953125,default
1779320124,0.30237579345703125,kube-system
1779320129,0.2945213317871094,kube-system
1779320134,0.30823516845703125,kube-system
1779320139,0.3187828063964844,kube-system
1779320144,0.30619049072265625,kube-system
1779320149,0.3408966064453125,kube-system
1779320154,0.3343658447265625,kube-system
1779320159,0.334320068359375,kube-system
1779320164,0.3459434509277344,kube-system
1779320169,0.3459930419921875,kube-system
1779320174,0.3538970947265625,kube-system
1779320179,0.3584136962890625,kube-system
1779320184,0.3589324951171875,kube-system
1779320189,0.33699798583984375,kube-system
1779320194,0.33763885498046875,kube-system
1779320199,0.33763885498046875,kube-system
1779320204,0.3401985168457031,kube-system
1779320209,0.3479423522949219,kube-system
1779320214,0.34883880615234375,kube-system
1779320219,0.35265350341796875,kube-system
1779320224,0.3526496887207031,kube-system
1779320229,0.3526458740234375,kube-system
1779320234,0.3526458740234375,kube-system
1779320239,0.3486366271972656,kube-system
1779320244,0.3443870544433594,kube-system
1779320249,0.3444061279296875,kube-system
1779320254,0.3444175720214844,kube-system
1779320259,0.34529876708984375,kube-system
1779320264,0.3294410705566406,kube-system
1779320269,0.3189849853515625,kube-system
1779320274,0.2969818115234375,kube-system
1779320279,0.2888603210449219,kube-system
1779320284,0.2888603210449219,kube-system
1779320289,0.2893409729003906,kube-system
1779320294,0.294830322265625,kube-system
1779320299,0.2947120666503906,kube-system
1779320304,0.2955589294433594,kube-system
1779320309,0.3082275390625,kube-system
1779320314,0.30975341796875,kube-system
1779320319,0.3120536804199219,kube-system
1779320324,0.31941986083984375,kube-system
1779320329,0.3087654113769531,kube-system
1779320334,0.3087654113769531,kube-system
1779320339,0.3543548583984375,kube-system
1779320344,0.3313446044921875,kube-system
1779320349,0.3313446044921875,kube-system
1779320354,0.33843231201171875,kube-system
1779320359,0.3386497497558594,kube-system
1779320364,0.32892608642578125,kube-system
1779320369,0.331146240234375,kube-system
1779320374,0.3627357482910156,kube-system
1779320379,0.3554229736328125,kube-system
1779320384,0.362091064453125,kube-system
1779320389,0.37326812744140625,kube-system
1779320394,0.37326812744140625,kube-system
1779320399,0.38516998291015625,kube-system
1779320404,0.4112396240234375,kube-system
1779320409,0.4372749328613281,kube-system
