timestamp,value,namespace
1779320424,0.00006602893401137254,default
1779320429,0.00006754375563990814,default
1779320434,0.00006743307698065505,default
1779320424,0.023538569884702945,kube-system
1779320429,0.02330738911944033,kube-system
1779320434,0.02315657824210299,kube-system
1779320424,0.06284715602075634,monitoring
1779320429,0.06302001122728541,monitoring
1779320434,0.06269573434025189,monitoring
1779320424,0.0007490423523286624,stunner
1779320429,0.0008419859508585412,stunner
1779320434,0.0008492164566597107,stunner
1779320424,0.003955453405044933,stunner-system
1779320429,0.003958352059606245,stunner-system
1779320434,0.003948942169664601,stunner-system
